Year,Max
1997.443836,32
1997.446575,31.1
1997.449315,32
1997.452055,30.9
1997.454795,28.3
1997.457534,28.2
1997.460274,29.7
1997.463014,29.9
1997.465753,30.7
1997.468493,31.4
1997.471233,30.7
1997.473973,30.7
1997.476712,30.9
1997.479452,32.3
1997.482192,32.2
1997.484932,30.3
1997.487671,28.1
1997.490411,29.6
1997.493151,30.6
1997.49589,30.9
1997.49863,30.8
1997.50137,29.4
1997.50411,30.8
1997.506849,32.1
1997.509589,30.9
1997.512329,30.7
1997.515068,30
1997.517808,30.9
1997.520548,31.4
1997.523288,30
1997.526027,30.4
1997.528767,31.4
1997.531507,30.3
1997.534247,31.1
1997.536986,31.8
1997.539726,30.6
1997.542466,30
1997.545205,29.3
1997.547945,30
1997.550685,30.4
1997.553425,29.6
1997.556164,30.7
1997.558904,30.3
1997.561644,29.9
1997.564384,29.2
1997.567123,30.3
1997.569863,32.9
1997.572603,33
1997.575342,31.6
1997.578082,30.5
1997.580822,31.3
1997.583562,31.4
1997.586301,30.4
1997.589041,31.4
1997.591781,30.6
1997.594521,30.1
1997.59726,30.7
1997.6,29.6
1997.60274,30.3
1997.605479,29.1
1997.608219,29.9
1997.610959,31
1997.613699,30.6
1997.616438,31.7
1997.619178,30.6
1997.621918,30.3
1997.624658,30
1997.627397,30.7
1997.630137,31.6
1997.632877,32
1997.635616,34
1997.638356,31.6
1997.641096,32.4
1997.643836,33
1997.646575,33
1997.649315,32.7
1997.652055,31.6
1997.654795,31.5
1997.657534,33.5
1997.660274,32.6
1997.663014,29.6
1997.665753,29.5
1997.668493,30.2
1997.671233,31.2
1997.673973,30.8
1997.676712,32.9
1997.679452,30.9
1997.682192,31.9
1997.684932,33.6
1997.687671,34.1
1997.690411,36
1997.693151,36.2
1997.69589,33.6
1997.69863,32.7
1997.70137,33
1997.70411,33.2
1997.706849,32.9
1997.709589,33
1997.712329,31.7
1997.715068,32.4
1997.717808,31.9
1997.720548,32
1997.723288,34.7
1997.726027,33.4
1997.728767,34.2
1997.731507,33.5
1997.734247,35.5
1997.736986,35
1997.739726,33.5
1997.742466,33.7
1997.745205,32.3
1997.747945,34.1
1997.750685,31.7
1997.753425,34.2
1997.756164,32
1997.758904,30.6
1997.761644,31.3
1997.764384,31.7
1997.767123,32.5
1997.769863,31.5
1997.772603,33
1997.775342,33.6
1997.778082,33.2
1997.780822,34.1
1997.783562,33.3
1997.786301,34.4
1997.789041,34.9
1997.791781,35.8
1997.794521,33.7
1997.79726,34.1
1997.8,33.5
1997.80274,33.4
1997.805479,34.6
1997.808219,34.1
1997.810959,34.8
1997.813699,31.3
1997.816438,32.6
1997.819178,33.2
1997.821918,33.9
1997.824658,33.9
1997.827397,32.5
1997.830137,32.7
1997.832877,33
1997.835616,33.8
1997.838356,33.9
1997.841096,33.1
1997.843836,33.9
1997.846575,34.3
1997.849315,34
1997.852055,33.3
1997.854795,33.6
1997.857534,32.5
1997.860274,33
1997.863014,32.9
1997.865753,33
1997.868493,32.6
1997.871233,30.4
1997.873973,33.7
1997.876712,29.9
1997.879452,33.4
1997.882192,31.8
1997.884932,34
1997.887671,34.6
1997.890411,33.4
1997.893151,33.6
1997.89589,34.5
1997.89863,33.2
1997.90137,32.8
1997.90411,32.8
1997.906849,34
1997.909589,33.5
1997.912329,34.3
1997.915068,34.1
1997.917808,35.7
1997.920548,33.1
1997.923288,34.2
1997.926027,31.9
1997.928767,33.6
1997.931507,33.7
1997.934247,34
1997.936986,32.8
1997.939726,34.2
1997.942466,33.5
1997.945205,33.4
1997.947945,33
1997.950685,31.2
1997.953425,33.1
1997.956164,32.4
1997.958904,33.5
1997.961644,32.5
1997.964384,33
1997.967123,33
1997.969863,30.2
1997.983562,28.4
1997.986301,32
1997.989041,32.2
1997.991781,32.3
1997.994521,32.1
1997.99726,29.5
1998,31.3
1998.00274,30.5
1998.005479,32.4
1998.008219,33.1
1998.010959,32.7
1998.013699,31.8
1998.016438,34.5
1998.019178,33
1998.021918,30.8
1998.024658,31
1998.027397,31.9
1998.030137,32.3
1998.032877,32.7
1998.035616,33.3
1998.038356,33.3
1998.041096,32
1998.043836,32.9
1998.046575,30.2
1998.049315,32.9
